HIP,HD,V,radial_velocity,radial_velocity_error,logrhk
1954,2071,7.27,6.65,0.22,_4.931
3203,3821A,7.02,11.99,0.55,_4.508
4909,6204,8.51,_3.21,0.46,_4.522
5301,6718,8.44,34.38,0.24,_4.962
6407,8291,8.62,6.49,0.29,_4.740
7585,9986,6.77,_20.90,0.31,_4.895
8507,11195,8.9,_9.58,0.75,_4.908
9349,12264,7.99,19.33,0.64,_4.559
10175,13357,7.65,25.18,0.66,_4.796
10303,13612B,7.56,_5.62,0.58,_4.959
11915,16008,8.62,14.36,0.76,_4.880
14501,19467,6.97,7.68,0.95,_4.999
14614,19518,7.84,_27.44,0.68,_4.945
14623,19632,7.29,40.98,0.76,_4.431
15527,20782,7.38,40.39,0.83,_4.943
18844,25874,6.73,34.84,0.88,_5.000
19911,26990,7.51,_14.73,0.8,_4.620
21079,28904,8.26,_6.05,0.95,_4.498
22263,30495,5.5,22.23,0.9,_4.532
22395,30774,7.88,17.61,0.27,_4.452
25670,36152,8.28,_9.91,0.15,_4.896
28066,39881,6.6,1.09,0.88,_5.004
29432,42618,6.87,_53.67,0.21,_4.948
29525,42807,6.44,6.08,0.23,_4.445
30037,45021,9.16,49.79,0.69,_4.929
30158,44665,8.37,44.57,0.67,_5.015
30344,44821,7.37,14.66,0.69,_4.470
30476,45289,6.65,57.11,0.93,_5.012
30502,45346,8.67,45.53,0.52,_4.971
33094,50806,6.03,72.75,0.32,_5.058
34511,54351,8,42.91,0.69,_4.953
36512,59711,7.73,8.45,0.82,_4.946
36515,59967,6.64,9.74,0.39,_4.396
38072,63487,9.22,58.54,0.68,_4.472
40133,68168,7.36,9.4,0.38,_4.979
41317,71334,7.81,18.26,1.07,_4.970
42333,73350,6.75,35.3,0.2,_4.533
43297,75302,7.46,10.5,0.52,_4.648
44713,78429,7.31,65.39,0.78,_4.951
44935,78534,8.74,_37.99,0.79,_4.993
44997,78660,8.35,_10.68,0.71,_4.966
49756,88072,7.54,_17.89,0.48,_4.962
54102,96116,8.65,30.93,0.61,_4.719
54287,96423,7.23,55.75,0.97,_5.008
54582,97037,6.81,_15.12,0.98,_5.001
55409,98649,8,3.61,0.59,_4.973
62039,110537,7.84,36.38,0.73,_5.028
64150,114174,6.82,24.08,0.74,_4.991
64673,115031,8.34,69.11,0.68,_4.972
64713,115169,9.26,20.27,0.83,_4.972
65708,117126,7.43,_14.22,0.76,_5.021
67620,120690,6.44,1.8,0.59,_4.797
68468,122194,9.39,0.38,0.77,_5.022
69645,124523,9.41,_3.68,0.76,_4.975
72043,129814,7.53,6.01,0.64,_4.928
73241,131923,6.35,32.9,0.65,_5.001
73815,133600,8.17,3.93,0.61,_4.990
74389,134664,7.77,7.61,0.77,_4.935
74432,135101,6.68,_39.77,0.71,_5.042
76114,138573,7.23,_36.47,0.89,_4.984
77052,140538,5.87,17.93,0.89,_4.834
77883,142331,8.76,_70.94,0.66,_4.990
79578,145825,6.53,_21.20,0.34,_4.732
79672,146233,5.51,10.98,0.85,_4.983
79715,145927,8.36,14.12,0.69,_4.980
81746,150248,7.03,67.26,0.37,_4.962
83276,153631,7.13,88.46,0.34,_4.990
85042,157347,6.29,_36.46,0.57,_5.014
87769,163441,8.44,12.05,0.7,_4.953
89650,167060,8.94,15.01,0.61,_4.997
95962,183658,7.28,57.66,0.62,_4.985
96160,183579,8.69,_15.86,0.38,_4.855
101905,196390,7.33,27.12,0.69,_4.731
102040,197076A,6.44,_36.21,0.65,_4.927
102152,197027,9.21,_44.02,0.16,_4.989
103983,200565,8.45,_2.71,0.54,_4.843
104045,200633,8.41,45,0.25,_4.969
105184,202628,6.74,11.79,0.46,_4.720
108158,207700,7.42,6.37,0.39,_4.974
108468,208704,7.21,3.32,0.61,_4.975
108996,209562,8.88,12.26,0.57,_4.466
109110,209779,7.57,_10.79,0.38,_4.490
109821,210918,6.23,_19.24,0.58,_5.004
114615,219057,9.59,0.55,0.61,_4.838
115577,220507,7.6,23.85,0.85,_5.020
116906,222582,7.68,12.15,0.21,_4.978
117367,223238,7.71,_15.37,0.26,_5.013
118115,224383,7.85,_31.23,0.16,_4.995